32405,789891443,John F Kennedy School,175 Brookvale Ave,"West Babylon, NY ",John F Kennedy School,-73.348557766226,40.690352033019,facebook_places,923679487657215
32405,78732605,"Presbyterian Church of Jamesburg, New Jersey",175 Gatzmer Ave,"Jamesburg, NJ",Presbyterian Church of Jamesburg,-74.43863232587,40.348811085837,facebook_places,145224558873242
32405,251232147,"Jamesburg, New Jersey",,,Jamesburg,-74.439166666667,40.35,facebook_places,104089199626992
32405,444639339,Domino's Pizza,55 E Railroad Ave,Jamesburg,Domino's Pizza,-74.438408017159,40.351157781261,facebook_places,599016803463186
32405,234877918,The Diner,26 W Railroad Ave,,The Diner,-74.43677,40.34859,facebook_places,646734355372254
32405,14272074,7-Eleven,171 Buckalew Avenue,Jamesburg,7-Eleven,-74.429191855411,40.345512646821,facebook_places,228550420529772
32405,254252742,I 95,New Jersey Tpke Cars Only Ln,,I 95,-74.466357051976,40.367316037966,facebook_places,147392361995315
32405,1014266260,Jamesburg Public Schools,13 Augusta St,,Jamesburg Public Schools,-74.437,40.3533,facebook_places,123922777652406
32405,402299229,"Romeo's Restaurant, Pizza, & Caterers",27 B East Railroad avenue,"Jamesburg, NJ",Romeo's Restaurant,-74.4363599,40.3494699,facebook_places,100516893407410
32405,759373285,Jamesburg Deli,155 Gatzmer Ave,"Jamesburg, New Jersey",Jamesburg Deli,-74.43818,40.34758,facebook_places,1446821548936911
32405,290327218,Baskin-Robbins,200 Buckelew Ave,"Jamesburg, New Jersey",Baskin-Robbins,-74.43367,40.34671,facebook_places,153377881415675
32405,1006532757,"Jamesburg Park, New Jersey",,,Jamesburg Park,-74.4389,40.3797,facebook_places,805649146195900
32405,25849535,Jamesburg First Aid Squad,227 Gatzmer Ave,"Jamesburg, NJ",Jamesburg First Aid Squad,-74.441842815586,40.352578355997,facebook_places,123771541002834
32405,428446627,Jamesburg Veterinary Hospital,3 Stockton Ave,,Jamesburg Veterinary Hospital,-74.44091,40.35335,facebook_places,164801916879053
32405,773671164,Four Boys Ice Cream Jamesburg,215 Forsgate Dr,,Four Boys Ice Cream Jamesburg,-74.435680811875,40.347708494687,facebook_places,627260147375727
32405,270820520,Saint James Roman Catholic Church,36 Lincoln Ave,,Saint James Roman Catholic Church,-74.439990218047,40.355383526153,facebook_places,146245502066768
32405,66262651,Jamesburg Truck Stop,,,Jamesburg Truck Stop,-74.455500712647,40.378734538519,facebook_places,225995190874044
32405,447373762130731,Jamesburg School District,28 Front St,"Jamesburg, NJ",Jamesburg School District,-74.442016,40.349513,facebook_places,447373762130731
32405,284929573,Jamesburg County Park,,,Jamesburg County Park,-74.44481967024,40.372139154971,facebook_places,391851764177106
32405,1020150450,Bank Jamesburg,25 E Railroad Ave,", NJ",Bank Jamesburg,-74.43594,40.34939,facebook_places,117388561656443
